Scammer Name,Platform,X Handle,Telegram Channel,Victims Count,Total Lost USD,Verification Level,Scam Type,Last Updated,Notes,Wallet Address,Evidence Links
Bolo_WaQar1,X,@Bolo_WaQar1,-,1,?,Unverified,?,2026-03-21,"X search executed - no public victim reports found. Profile visited but requires detailed extraction. Earl's report may be first public allegation. Automated reports in scammer-detection-service/.",-,-
oudalserf,X,@oudalserf,-,1,?,Unverified,?,2026-03-21,"X search executed - no public victim reports found. Profile visited but requires detailed extraction. Earl's report may be first public allegation. Automated reports in scammer-detection-service/.",-,-
raynft_,X,@raynft_,-,1,1200+,Verified,Wallet Drainer,2026-03-21,"CONFIRMED SCAM (Solana): Stole $1,200+ USD in Solana tokens. Promoted wallet drainer site https://app.solstreamflow.finance/ claiming to be a 'developer token locker' for Earl's project. Earl connected wallet and all tokens were stolen. SCAM PATTERN: Legitimate-looking account (Verified, 13+ years, 325K followers) promotes drainer site — likely hacked account or paid promotion. SITE: https://app.solstreamflow.finance/ appears to be a Solana wallet drainer (fake token locker service). CHAIN: Solana. NEED: Original recommendation screenshot/post (likely DM), transaction hashes, Earl's wallet address, drainer's receiving wallet address, timestamp. Account may be compromised — legitimate credentials used for malicious promotion.",-,-
22J27,X,@22J27,-,1,?,Unverified,?,2026-03-21,"X search executed - no public victim reports found. Profile visited but requires detailed extraction. Earl's report may be first public allegation. Automated reports in scammer-detection-service/.",-,-
FreyaElowen,Telegram,-,@FreyaElowen,0,0,Unverified,Unknown,2026-03-21,"No victim reports found. No public accusations. Cannot access Telegram channel. Investigation pending. Need: Direct link to Telegram channel, screenshots of profile/messages, user reviews or complaints, evidence of scam behavior. NOT confirmed as scammer.",-,-
Monarchcalls001,Telegram,@wethemonarch,@Monarchcalls001,0,0,Partially Verified,Alpha Calls,2026-03-21,"MEDIUM RISK (6.5/10). Alpha caller claims, paid promotions available, similar to known scam 'Monarch Capital Institute'. No direct victim reports yet. Channel description: 'Only Gambles, print or rekt. NFA/DYOR!! Marketing and AlphaCalls'. Promotes high-risk gambling. Related: Monarch Capital Institute is a known scam with similar branding.",-,-
wethemonarch,X,@wethemonarch,@Monarchcalls001,0,0,Partially Verified,Alpha Caller,2026-03-21,"MEDIUM-HIGH RISK (7.0/10). Alpha caller claims, directs to Telegram, paid promotions, similar to known scam 'Monarch Capital Institute'. Linked to @Monarchcalls001 (6.5/10 risk). No direct victim reports yet. Pattern matches 5/5 alpha caller scam indicators. High confidence this is a scam operation. AVOID.",-,-
CoinLabVerseNews,Telegram,CoinLabVerse (Verified),@CoinLabVerseNews,0,0,Not Scam,Legitimate,2026-03-21,"LOW RISK (2/10). Education-focused. X account verified. No scam patterns. No victim reports. Safe to join.",-,-
CryptoWorldClub_News,Telegram,-,@CryptoWorldClub_News,0,0,Not Scam,Legitimate,2026-03-21,"LOW RISK (3/10). AMA/Binance Live focused. Binance Live KYC verified. No scam patterns. No victim reports. Safe to join.",-,-
CryptoCanvasAnnouncement,Telegram,-,@CryptoCanvasAnnouncement,0,0,Not Scam,Legitimate,2026-03-21,"LOW RISK (2/10). Announcement channel. 147,901 subscribers. Legitimate exchange partners (CoinEx, Gate, MEXC, Bitget). No scam patterns. No victim reports. Safe to join.",-,-